THÁNG,NGÀY,TIỀN MẶT,CÀ THẺ,THỰC NHẬN CÀ THẺ,CHUYỂN KHOẢN,TRẢ CỌC,TỔNG,TỔNG TRỪ PHÍ CÀ THẺ
2023.09,05/09/2023,11.230.000,7.300.000,7.184.700,20.200.000,0,38.730.000,38.614.700
2023.09,06/09/2023,12.896.666,4.700.000,4.624.800,48.610.000,0,66.206.666,66.131.466
2023.09,07/09/2023,19.530.000,11.025.000,10.886.050,23.642.000,0,54.197.000,54.058.050
2023.09,08/09/2023,16.850.000,9.916.666,9.794.999,63.787.000,0,90.553.666,90.431.999
2023.09,09/09/2023,19.180.000,19.150.000,18.851.100,31.845.000,0,70.175.000,69.876.100
2023.09,10/09/2023,25.210.000,26.075.000,25.637.800,53.865.000,0,105.150.000,104.712.800
2023.09,11/09/2023,9.250.000,17.266.666,16.968.159,66.837.220,450.000,92.903.886,92.605.379
2023.09,12/09/2023,0,0,0,2.700.000,0,2.700.000,2.700.000
2023.09,13/09/2023,15.410.000,7.770.000,7.674.680,29.410.000,0,52.590.000,52.494.680
2023.09,14/09/2023,16.220.000,9.245.000,9.112.337,47.800.000,0,73.265.000,73.132.337
2023.09,15/09/2023,12.092.000,6.660.000,6.487.800,50.037.000,0,68.789.000,68.616.800
2023.09,16/09/2023,11.910.000,20.095.000,19.780.980,36.667.000,0,68.672.000,68.357.980
2023.09,17/09/2023,14.400.000,5.910.000,5.828.440,62.775.000,0,83.085.000,83.003.440
2023.09,18/09/2023,7.515.000,4.911.666,4.845.529,25.444.000,0,37.870.666,37.804.529
2023.09,19/09/2023,11.460.000,6.100.000,6.012.400,27.630.000,0,45.190.000,45.102.400
2023.09,20/09/2023,2.070.000,3.750.000,3.690.800,22.450.000,0,28.270.000,28.210.800
2023.09,21/09/2023,5.000.000,13.845.000,13.723.480,11.270.000,0,30.115.000,29.993.480
2023.09,22/09/2023,10.045.000,14.460.000,14.238.140,36.240.000,0,60.745.000,60.523.140
2023.09,23/09/2023,15.535.000,18.410.000,18.140.940,20.845.000,0,54.790.000,54.520.940
2023.09,24/09/2023,22.105.000,19.115.000,18.809.160,40.260.000,0,81.480.000,81.174.160
2023.09,25/09/2023,8.325.000,3.570.000,3.512.880,10.960.000,0,22.855.000,22.797.880
2023.09,26/09/2023,4.110.000,6.400.000,6.327.600,31.625.000,0,42.135.000,42.062.600
2023.09,27/09/2023,2.385.000,1.250.000,1.230.000,2.000.000,0,5.635.000,5.615.000
2023.09,28/09/2023,6.770.000,560.000,552.640,23.000.000,0,30.330.000,30.322.640
2023.09,29/09/2023,50.000,11.410.000,11.227.440,19.875.000,0,31.335.000,31.152.440
2023.09,30/09/2023,9.845.000,17.055.000,16.811.120,34.110.000,0,61.010.000,60.766.120
2023.10,01/10/2023,24.595.000,8.805.000,8.666.620,21.339.000,0,54.739.000,54.600.620
2023.10,02/10/2023,8.950.000,4.200.000,4.129.000,14.350.000,0,27.500.000,31.966.620
2023.10,03/10/2023,9.695.000,1.850.000,1.827.400,78.290.000,0,89.835.000,89.812.400
2023.10,04/10/2023,7.437.000,16.110.000,15.852.240,27.755.000,0,51.302.000,51.044.240
2023.10,05/10/2023,8.950.000,11.190.000,11.055.660,16.070.000,0,36.210.000,36.075.660
