THÁNG,NGÀY,TIỀN MẶT,CÀ THẺ,THỰC NHẬN CÀ THẺ,CHUYỂN KHOẢN,TRẢ GÓP,TRẢ CỌC,TỔNG,TỔNG TRỪ PHÍ CÀ THẺ
2024.07,13/07/2024,6.200.000,0,0,4.650.000,0,500.000,10.350.000,10.350.000
2024.07,14/07/2024,19.120.000,0,0,5.100.000,0,0,24.220.000,24.220.000
2024.07,15/07/2024,10.725.000,0,0,8.895.000,0,0,19.620.000,19.620.000
2024.07,16/07/2024,4.615.000,14.841.000,14.572.000,17.650.000,0,0,37.106.000,36.837.000
2024.07,17/07/2024,19.750.000,850.000,836.400,12.175.000,0,2.700.000,30.075.000,30.061.400
2024.07,18/07/2024,0,24.500.000,24.108.000,78.700.000,0,0,103.200.000,102.808.000
2024.07,19/07/2024,2.051.000,4.499.000,4.432.016,6.900.000,0,0,13.450.000,13.383.016
2024.07,20/07/2024,1.315.000,15.620.000,15.369.000,17.305.000,0,3.000.000,31.240.000,30.989.000
2024.07,21/07/2024,6.960.000,200.000,196.800,25.045.000,0,0,32.205.000,32.201.800
2024.07,22/07/2024,9.500.000,3.150.000,3.099.600,127.030.000,0,0,139.680.000,139.629.600
2024.07,23/07/2024,3.500.000,2.000.000,1.968.000,167.990.000,0,0,173.490.000,173.458.000
2024.07,24/07/2024,10.600.000,0,0,400.000,39.750.000,0,50.750.000,50.750.000
2024.07,25/07/2024,2.005.000,0,0,10.199.000,0,0,12.204.000,12.204.000
2024.07,26/07/2024,10.550.000,3.500.000,3.444.000,20.525.000,0,0,34.575.000,34.519.000
2024.07,27/07/2024,5.150.000,1.680.000,1.653.120,81.750.000,0,0,88.580.000,88.553.120
2024.07,28/07/2024,3.500.000,6.520.000,6.165.000,7.900.000,0,0,17.920.000,17.565.000
2024.07,29/07/2024,6.725.000,3.000.000,2.972.000,47.520.000,0,0,57.245.000,57.217.000
2024.07,30/07/2024,20.235.000,5.200.000,5.116.800,24.060.000,0,0,49.495.000,49.411.800
2024.07,31/07/2024,0,52.300.000,50.969.000,7.100.000,9.380.000,0,68.780.000,67.449.000
2024.08,01/08/2024,6.725.000,0,0,22.110.000,0,0,28.835.000,28.835.000
2024.08,02/08/2024,5.200.000,1.400.000,1.380.000,24.550.000,0,1.500.000,29.650.000,29.630.000
2024.08,03/08/2024,3.600.000,93.150.000,91.318.550,9.070.000,0,0,105.820.000,103.988.550
2024.08,04/08/2024,8.550.000,34.700.000,33.986.496,26.175.000,0,0,69.425.000,68.711.496
2024.08,05/08/2024,41.685.000,71.700.000,70.099.400,44.800.000,0,0,158.185.000,156.584.400
2024.08,06/08/2024,0,0,0,0,0,0,0,0
2024.08,07/08/2024,0,0,0,0,0,0,0,0
2024.08,08/08/2024,35.650.000,0,0,11.900.000,0,0,47.550.000,47.550.000
2024.08,09/08/2024,0,1.680.000,1.653.120,71.700.000,0,0,73.380.000,73.353.120
2024.08,10/08/2024,1.200.000,0,0,4.000.000,0,0,5.200.000,5.200.000
